Country Name,Country Code,Region,Mean Salaries Male,Mean Salaries Female,Mean Unemployment Male,Mean Unemployment Female
Spain,ESP,Europe & Central Asia,77.70860699244908,83.66203580583844,14.688857095582136,21.234428644180298
Estonia,EST,Europe & Central Asia,89.03114237104144,94.65232167925153,9.520035692623683,7.949571379593437
Ethiopia,ETH,Sub-Saharan Africa,11.963607106889995,8.099892837660652,2.1025357033525194,3.3682142666407997
Finland,FIN,Europe & Central Asia,81.68103545052665,90.5663572038923,10.61971426010132,9.97060714449201
Fiji,FJI,East Asia & Pacific,58.80092852456229,55.53807190486363,3.612035700253078,5.1443928991045285
France,FRA,Europe & Central Asia,85.20442908150811,91.25871413094657,9.027999929019378,10.849499974931993
Gabon,GAB,Sub-Saharan Africa,66.80010727473667,49.33164255959648,15.152142899376996,23.04935720988683
United Kingdom,GBR,Europe & Central Asia,82.18492780412946,91.37253516060966,7.258857131004335,5.685464279992241
Georgia,GEO,Europe & Central Asia,41.37092876434326,41.37085723876953,13.775821464402327,11.488107153347553
Ghana,GHA,Sub-Saharan Africa,26.299035685403005,12.071249995912826,6.20664280653,6.948964306286405
Guinea,GIN,Sub-Saharan Africa,11.95064285823277,2.5154642973627364,5.1561428138187955,3.12221428326198
"Gambia, The",GMB,Sub-Saharan Africa,31.39925009863718,13.970678567886349,7.409964306013925,13.151178564344136
Guinea-Bissau,GNB,Sub-Saharan Africa,26.17396429606846,11.673321451459612,4.164821454456875,4.621642845017568
Equatorial Guinea,GNQ,Sub-Saharan Africa,44.112928662981325,24.239035674503874,7.839107070650373,8.987535749162946
Greece,GRC,Europe & Central Asia,58.317535809108186,64.31892939976282,10.288535731179378,18.387428624289377
Guatemala,GTM,Latin America & Caribbean,57.102963720049175,44.33985696520124,2.53260714667184,3.6264642732484
Guam,GUM,East Asia & Pacific,81.65450041634696,87.8776068006243,8.771678515842988,8.39650000844683
Guyana,GUY,Latin America & Caribbean,38.97585718972341,30.890678473881316,10.115285669054307,15.255178553717474
"Hong Kong SAR, China",HKG,East Asia & Pacific,85.25482150486538,94.34724998474121,4.5022499816758295,3.376142859458923
Honduras,HND,Latin America & Caribbean,48.587321281433105,44.05274990626744,3.594214303152902,4.891035710062299
Croatia,HRV,Europe & Central Asia,76.24903597150531,79.05828503199986,11.769285746983117,13.304000071116855
Haiti,HTI,Latin America & Caribbean,14.586892843246464,10.605607203074866,9.843285696847099,13.59724988256182
Hungary,HUN,Europe & Central Asia,82.649963923863,89.58064351763043,8.487357139587404,7.704464265278401
Indonesia,IDN,East Asia & Pacific,42.137250082833425,33.07785735811506,4.8562500306538166,5.966071392808644
India,IND,South Asia,18.323107174464635,11.944928629057742,2.54085716179439,3.141392844063895
Ireland,IRL,Europe & Central Asia,74.30717849731445,91.49642835344586,9.988964319229128,8.762321421078276
"Iran, Islamic Rep.",IRN,Middle East & North Africa,54.374821526663645,52.350821358816965,9.850285598209924,18.598071472985406
Iraq,IRQ,Middle East & North Africa,68.99142864772251,61.22024985722133,8.84142860344478,9.483285716601776
Iceland,ISL,Europe & Central Asia,79.6137147630964,90.8829288482666,4.046678585665567,3.8967142701148987
Israel,ISR,Middle East & North Africa,84.23874991280692,92.96025058201381,8.92742854356766,10.018464190619332
Italy,ITA,Europe & Central Asia,69.6489282335554,79.60828563145229,8.23839281286512,12.697749972343443
Jamaica,JAM,Latin America & Caribbean,55.54346438816616,66.3298921585083,9.304571390151974,18.82432123592921
Jordan,JOR,Middle East & North Africa,83.14928545270648,96.7105358668736,12.753821509225034,24.12539284569876
Japan,JPN,East Asia & Pacific,85.43621499197823,84.19999967302597,3.9965714386531284,3.6935714057513644
Kazakhstan,KAZ,Europe & Central Asia,66.10446425846645,62.31471429552351,6.311678579875399,8.494607159069608
Kenya,KEN,Sub-Saharan Africa,48.60235677446638,20.230107103075312,8.151321394102913,11.196071318217681
Kyrgyz Republic,KGZ,Europe & Central Asia,51.78360734667097,56.045535223824636,6.498071400182589,8.538321431194033
Cambodia,KHM,East Asia & Pacific,33.10425009046283,24.18910745212009,1.6359642871788567,1.820928590638297
"Korea, Rep.",KOR,East Asia & Pacific,67.39017854418074,67.10939243861608,3.8143214157649448,3.051714305366789
Kuwait,KWT,Middle East & North Africa,97.00867870875767,99.47750009809222,0.811500001166548,2.9497857051236296
Lao PDR,LAO,East Asia & Pacific,18.281821455274308,8.769642915044509,1.511571428605489,1.420964283602579
Lebanon,LBN,Middle East & North Africa,57.06310721806118,83.97153581891742,6.808892829077584,10.10560716901507
Liberia,LBR,Sub-Saharan Africa,27.27582148143224,8.85328573840005,2.369678552661623,2.3975714445114136
Libya,LBY,Middle East & North Africa,92.82503536769322,95.12325014386859,16.706178665161136,26.544464179447726
St. Lucia,LCA,Latin America & Caribbean,60.59332152775356,72.08942822047642,15.840857028961173,22.317678655896867
Sri Lanka,LKA,South Asia,57.846107210431775,58.03924982888358,5.634464332035611,12.241321461541308
Lesotho,LSO,Sub-Saharan Africa,34.83314282553537,47.8188213620867,25.24785716193062,37.69335685457503
Lithuania,LTU,Europe & Central Asia,81.16471481323242,86.45957156590053,12.138214285884589,10.094678544572416
Luxembourg,LUX,Europe & Central Asia,90.9346068246024,92.5248214176723,3.4064285882881715,4.888321425233569
Latvia,LVA,Europe & Central Asia,84.53910664149693,88.69685636247907,13.411214300564358,11.644178594861714
"Macao SAR, China",MAC,East Asia & Pacific,88.00157138279506,94.20124980381557,4.058785745075771,2.8905356952122276
Morocco,MAR,Middle East & North Africa,47.618607112339554,32.19757134573799,11.134928498949327,11.408000060490194
Moldova,MDA,Europe & Central Asia,65.27496446881976,68.38939312526158,7.395892807415555,4.791749975511006
Madagascar,MDG,Sub-Saharan Africa,15.093250070299424,9.966357180050442,3.3995714081185207,4.047857144049235
Maldives,MDV,South Asia,74.12764276776996,51.40957123892648,2.7177142926624844,3.6019642565931593
Mexico,MEX,Latin America & Caribbean,63.308643341064446,63.69599969046457,3.6683571125779815,4.615749980722155
North Macedonia,MKD,Europe & Central Asia,72.61182131086078,77.67103603907994,31.391535622732988,33.672000067574636
Mali,MLI,Sub-Saharan Africa,13.436821426664084,5.231357199805124,6.067678579262326,7.842571445873807
Malta,MLT,Middle East & North Africa,83.18260765075684,93.78750010899137,6.053142888205391,6.868821467672076
Myanmar,MMR,East Asia & Pacific,31.846964359283444,30.56357124873571,0.9651785790920251,1.2263928609234944
Montenegro,MNE,Europe & Central Asia,76.20710781642369,85.22550010681152,22.531535727637145,27.825143132890968
Mongolia,MNG,East Asia & Pacific,41.531000137329094,47.082964760916575,6.150535702705383,5.689642863614219
Mozambique,MOZ,Sub-Saharan Africa,17.60503571374076,3.8985000167574198,3.7264999747276306,2.4965357269559583
Mauritania,MRT,Sub-Saharan Africa,46.43832152230399,27.33121429170881,9.97728565761021,13.707535743713402
Mauritius,MUS,Sub-Saharan Africa,77.01928547450474,85.0816070011684,6.056928617613656,12.498178550175263
Malawi,MWI,Sub-Saharan Africa,42.96300016130719,32.30889279501779,5.32407145840781,9.018035701342992
Malaysia,MYS,East Asia & Pacific,73.59914261954171,75.4394280569894,3.1408214398792818,3.611535719462803
Namibia,NAM,Sub-Saharan Africa,73.03032112121582,56.08692850385393,19.36728583063397,22.7333928516933
New Caledonia,NCL,East Asia & Pacific,79.9656069619315,87.40428597586495,13.852249962942937,18.656607287270685
Niger,NER,Sub-Saharan Africa,10.686035667146957,7.810142840657916,1.494428576103278,0.9144285672477317
Nigeria,NGA,Sub-Saharan Africa,20.647000108446388,12.23724995340619,4.277357135500226,3.9654999801090787
Nicaragua,NIC,Latin America & Caribbean,53.322785513741636,50.74546459742954,6.1324643066951205,6.945892861911228
Netherlands,NLD,Europe & Central Asia,84.53028597150531,89.15535790579659,4.388607178415572,5.707642887319838
Norway,NOR,Europe & Central Asia,89.28996440342495,95.03285707746234,4.337678534643991,3.850571453571319
Nepal,NPL,South Asia,25.947214399065295,7.47460719517299,1.8243214360305235,1.3889642740998955
New Zealand,NZL,East Asia & Pacific,77.10350036621092,86.45128631591797,6.07149998630796,6.260892851012094
Oman,OMN,Middle East & North Africa,91.88935688563755,93.69560623168945,3.5480714610644752,9.735178606850756
Pakistan,PAK,South Asia,39.33171435764858,26.754071440015533,1.131928572697299,1.346321436443499
Panama,PAN,Latin America & Caribbean,61.88557147979736,74.83071436200824,2.976357157741273,5.02142857653754
Peru,PER,Latin America & Caribbean,46.423142841884065,34.873892715999055,4.3680357166699,4.692750011171613
Philippines,PHL,East Asia & Pacific,53.73239271981375,51.645785740443635,3.3061428580965315,3.745607120650154
Papua New Guinea,PNG,East Asia & Pacific,26.282714298793245,10.890000036784576,3.474678567477636,1.6581428476742353
Poland,POL,Europe & Central Asia,72.29028620038714,77.1440350668771,11.117214228425718,12.91042852401734
Puerto Rico,PRI,Latin America & Caribbean,79.51907103402274,92.27603612627301,14.682357140949794,10.765035731451857
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,39.50242846352713,22.21474988119943,4.156892853123801,3.443749998297011
Portugal,PRT,Europe & Central Asia,73.43214362008231,78.17178617204938,7.272749994482315,8.790000064032418
Paraguay,PRY,Latin America & Caribbean,47.64892864227295,47.629499844142366,5.672785699367523,8.661071436745775
West Bank and Gaza,PSE,Middle East & North Africa,64.63924966539655,61.58842822483608,20.532928603036073,24.044178519930163
