Country Name,Country Code,Region,Mean Unemployment Male,Mean Unemployment Female
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,4.156892853123801,3.443749998297011
Portugal,PRT,Europe & Central Asia,7.272749994482315,8.790000064032418
Paraguay,PRY,Latin America & Caribbean,5.672785699367523,8.661071436745775
West Bank and Gaza,PSE,Middle East & North Africa,20.532928603036073,24.044178519930163
French Polynesia,PYF,East Asia & Pacific,11.331285749162943,13.391892841884081
Qatar,QAT,Middle East & North Africa,0.6558214245097982,2.7941785667623793
Romania,ROU,Europe & Central Asia,7.287464244025094,6.29660713672638
Russian Federation,RUS,Europe & Central Asia,7.778999958719523,7.250107135091514
Rwanda,RWA,Sub-Saharan Africa,0.931750004845006,0.7034642845392229
Saudi Arabia,SAU,Middle East & North Africa,4.299714284283774,13.245428494044715
Sudan,SDN,Sub-Saharan Africa,12.561035701206746,22.189714431762688
Senegal,SEN,Sub-Saharan Africa,5.995321478162492,9.619857192039484
Singapore,SGP,East Asia & Pacific,3.799249989645822,4.318785752568926
Solomon Islands,SLB,East Asia & Pacific,2.4187142763819027,1.927750016961779
Sierra Leone,SLE,Sub-Saharan Africa,4.777107170649937,2.7750357389450078
El Salvador,SLV,Latin America & Caribbean,7.288178477968487,4.5266071387699665
Somalia,SOM,Sub-Saharan Africa,14.291535752160211,16.207000119345526
Serbia,SRB,Europe & Central Asia,14.483321360179346,18.213821411132805
South Sudan,SSD,Sub-Saharan Africa,11.902214288711546,14.304500000817443
Sao Tome and Principe,STP,Sub-Saharan Africa,10.77628571646554,21.163000038691933
Suriname,SUR,Latin America & Caribbean,6.950964237962448,15.672999926975795
Slovak Republic,SVK,Europe & Central Asia,12.981678383690966,13.859249898365556
Slovenia,SVN,Europe & Central Asia,6.973785723958698,7.230107137135094
Sweden,SWE,Europe & Central Asia,7.693071373871398,6.829249995095389
Eswatini,SWZ,Sub-Saharan Africa,22.794642925262448,27.56096424375262
Syrian Arab Republic,SYR,Middle East & North Africa,6.381750072751727,19.162821429116384
Chad,TCD,Sub-Saharan Africa,1.5094285735062187,1.2673214322754311
Togo,TGO,Sub-Saharan Africa,2.288107165268489,1.6144285712923316
Thailand,THA,East Asia & Pacific,1.3224642936672486,1.3663571370499472
Tajikistan,TJK,Europe & Central Asia,12.026964281286515,10.24910723737308
Turkmenistan,TKM,Europe & Central Asia,7.820071399211882,4.211142839065619
Timor-Leste,TLS,East Asia & Pacific,3.041714293616159,4.390071460178921
Tonga,TON,East Asia & Pacific,1.1902499954615322,3.2808571330138614
Trinidad and Tobago,TTO,Latin America & Caribbean,2.923428573778698,3.9840714505740573
Tunisia,TUN,Middle East & North Africa,13.613000018256056,18.56753580910819
Turkey,TUR,Europe & Central Asia,8.897964324269974,9.6766072000776
Tanzania,TZA,Sub-Saharan Africa,2.5099285883562916,3.5578571728297637
Uganda,UGA,Sub-Saharan Africa,2.034250012465886,2.642035714217595
Ukraine,UKR,Europe & Central Asia,8.416714216981612,6.998000012976781
Uruguay,URY,Latin America & Caribbean,8.314499957220896,13.520142929894584
United States,USA,North America,6.108035717691694,5.729214285101209
Uzbekistan,UZB,Europe & Central Asia,7.244857132434847,6.740607138190953
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,21.044428689139227,18.790821416037428
"Venezuela, RB",VEN,Latin America & Caribbean,9.075750010354179,10.906892810549058
Virgin Islands (U.S.),VIR,Latin America & Caribbean,8.113357084138054,9.812285695757181
Vietnam,VNM,East Asia & Pacific,2.017285708870207,1.857250009264265
Vanuatu,VUT,East Asia & Pacific,5.547714301518033,6.74799999168941
Samoa,WSM,East Asia & Pacific,4.759964308568411,6.458285731928691
"Yemen, Rep.",YEM,Middle East & North Africa,11.381821462086274,13.763964363506867
South Africa,ZAF,Sub-Saharan Africa,24.282249995640345,32.54349967411587
Zambia,ZMB,Sub-Saharan Africa,12.704464231218608,12.308250171797615
Zimbabwe,ZWE,Sub-Saharan Africa,5.54949997152601,4.751892898763929
